ORF	Gene_uniq	cluster	gene_name
YAL002W	YAL002W	1	VPS8
YAL007C	YAL007C	1	ERP2
YAL010C	YAL010C	1	MDM10
YAL011W	YAL011W	1	SWC3
YAL013W	YAL013W	1	DEP1
YAL019W	YAL019W	1	FUN30
YAL020C	YAL020C	1	ATS1
YAL021C	YAL021C	1	CCR4
YAL021C	YAL021C_DAMP	1	CCR4
YAL023C	YAL023C	1	PMT2
YAL024C	YAL024C	1	LTE1
YAL042W	YAL042W	1	ERV46
YAL048C	YAL048C	1	GEM1
YAL051W	YAL051W	1	OAF1
YAL055W	YAL055W	1	PEX22
YAR002W	YAR002W	1	NUP60
YAR003W	YAR003W	1	SWD1
YAR014C	YAR014C	1	BUD14
YAR018C	YAR018C	1	KIN3
YBL007C	YBL007C	1	SLA1
YBL008W	YBL008W	1	HIR1
YBL011W	YBL011W	1	SCT1
YBL017C	YBL017C	1	PEP1
YBL021C	YBL021C	1	HAP3
YBL024W	YBL024W	1	NCL1
YBL027W	YBL027W	1	RPL19B
YBL046W	YBL046W	1	PSY4
YBL047C	YBL047C	1	EDE1
YBL051C	YBL051C	1	PIN4
YBL058W	YBL058W	1	SHP1
YBL061C	YBL061C	1	SKT5
YBL066C	YBL066C	1	SEF1
YBL072C	YBL072C	1	RPS8A
YBL075C	YBL075C	1	SSA3
YBL078C	YBL078C	1	ATG8
YBL079W	YBL079W	1	NUP170
YBL081W	YBL081W	1	YBL081W
YBL082C	YBL082C	1	ALG3
YBL085W	YBL085W	1	BOI1
YBL087C	YBL087C	1	RPL23A
YBL101C	YBL101C	1	ECM21
YBL103C	YBL103C	1	RTG3
YBR009C	YBR009C	1	HHF1
YBR015C	YBR015C	1	MNN2
YBR022W	YBR022W	1	POA1
YBR023C	YBR023C	1	CHS3
YBR025C	YBR025C	1	OLA1
YBR031W	YBR031W	1	RPL4A
YBR034C	YBR034C	1	HMT1
YBR036C	YBR036C	1	CSG2
YBR057C	YBR057C	1	MUM2
YBR058C	YBR058C	1	UBP14
YBR073W	YBR073W	1	RDH54
YBR076W	YBR076W	1	ECM8
YBR078W	YBR078W	1	ECM33
YBR082C	YBR082C	1	UBC4
YBR093C	YBR093C	1	PHO5
YBR094W	YBR094W	1	PBY1
YBR095C	YBR095C	1	RXT2
YBR098W	YBR098W	1	MMS4
YBR103W	YBR103W	1	SIF2
YBR107C	YBR107C	1	IML3
YBR108W	YBR108W	1	AIM3
YBR114W	YBR114W	1	RAD16
YBR119W	YBR119W	1	MUD1
YBR125C	YBR125C	1	PTC4
YBR126C	YBR126C	1	TPS1
YBR131W	YBR131W	1	CCZ1
YBR132C	YBR132C	1	AGP2
YBR150C	YBR150C	1	TBS1
YBR162C	YBR162C	1	TOS1
YBR164C	YBR164C	1	ARL1
YBR168W	YBR168W	1	PEX32
YBR171W	YBR171W	1	SEC66
YBR175W	YBR175W	1	SWD3
YBR181C	YBR181C	1	RPS6B
YBR194W	YBR194W	1	AIM4
YBR195C	YBR195C	1	MSI1
YBR200W	YBR200W	1	BEM1
YBR201W	YBR201W	1	DER1
YBR215W	YBR215W	1	HPC2
YBR221C	YBR221C	1	PDB1
YBR229C	YBR229C	1	ROT2
YBR231C	YBR231C	1	SWC5
YBR238C	YBR238C	1	YBR238C
YBR245C	YBR245C	1	ISW1
YBR272C	YBR272C	1	HSM3
YBR274W	YBR274W	1	CHK1
YBR278W	YBR278W	1	DPB3
YBR280C	YBR280C	1	SAF1
YBR283C	YBR283C	1	SSH1
YBR288C	YBR288C	1	APM3
YBR289W	YBR289W	1	SNF5
YBR290W	YBR290W	1	BSD2
YBR291C	YBR291C	1	CTP1
YBR295W	YBR295W	1	PCA1
YCL001W	YCL001W	1	RER1
YCL001W-A	YCL001W-A	1	YCL001W-A
YCL008C	YCL008C	1	STP22
YCL010C	YCL010C	1	SGF29
YCL011C	YCL011C	1	GBP2
YCL014W	YCL014W	1	BUD3
YCL016C	YCL016C	1	DCC1
YCL029C	YCL029C	1	BIK1
YCL032W	YCL032W	1	STE50
YCL033C	YCL033C	1	MXR2
YCL036W	YCL036W	1	GFD2
YCL037C	YCL037C	1	SRO9
YCL045C	YCL045C	1	EMC1
YCL061C	YCL061C	1	MRC1
YCR008W	YCR008W	1	SAT4
YCR009C	YCR009C	1	RVS161
YCR017C	YCR017C	1	CWH43
YCR020C	YCR020C	1	PET18
YCR024C-A	YCR024C-A	1	PMP1
YCR026C	YCR026C	1	NPP1
YCR027C	YCR027C	1	RHB1
YCR028C-A	YCR028C-A	1	RIM1
YCR031C	YCR031C	1	RPS14A
YCR033W	YCR033W	1	SNT1
YCR034W	YCR034W	1	ELO2
YCR036W	YCR036W	1	RBK1
YCR044C	YCR044C	1	PER1
YCR053W	YCR053W	1	THR4
YCR063W	YCR063W	1	BUD31
YCR065W	YCR065W	1	HCM1
YCR066W	YCR066W	1	RAD18
YCR082W	YCR082W	1	AHC2
YCR086W	YCR086W	1	CSM1
YCR088W	YCR088W	1	ABP1
YCR089W	YCR089W	1	FIG2
YDL002C	YDL002C	1	NHP10
YDL006W	YDL006W	1	PTC1
YDL013W	YDL013W	1	SLX5
YDL020C	YDL020C	1	RPN4
YDL025C	YDL025C	1	RTK1
YDL033C	YDL033C	1	SLM3
YDL048C	YDL048C	1	STP4
YDL052C	YDL052C	1	SLC1
YDL056W	YDL056W	1	MBP1
YDL059C	YDL059C	1	RAD59
YDL061C	YDL061C	1	RPS29B
YDL065C	YDL065C	1	PEX19
YDL070W	YDL070W	1	BDF2
YDL074C	YDL074C	1	BRE1
YDL076C	YDL076C	1	RXT3
YDL077C	YDL077C	1	VAM6
YDL080C	YDL080C	1	THI3
YDL082W	YDL082W	1	RPL13A
YDL083C	YDL083C	1	RPS16B
YDL088C	YDL088C	1	ASM4
YDL089W	YDL089W	1	NUR1
YDL091C	YDL091C	1	UBX3
YDL093W	YDL093W	1	PMT5
YDL095W	YDL095W	1	PMT1
YDL099W	YDL099W	1	BUG1
YDL100C	YDL100C	1	GET3
YDL115C	YDL115C	1	IWR1
YDL117W	YDL117W	1	CYK3
YDL122W	YDL122W	1	UBP1
YDL125C	YDL125C	1	HNT1
YDL130W	YDL130W	1	RPP1B
YDL134C	YDL134C	1	PPH21
YDL135C	YDL135C	1	RDI1
YDL136W	YDL136W	1	RPL35B
YDL142C	YDL142C	1	CRD1
YDL167C	YDL167C	1	NRP1
YDL170W	YDL170W	1	UGA3
YDL175C	YDL175C	1	AIR2
YDL176W	YDL176W	1	YDL176W
YDL185W	YDL185W	1	VMA1
YDL191W	YDL191W	1	RPL35A
YDL203C	YDL203C	1	ACK1
YDL213C	YDL213C	1	NOP6
YDL223C	YDL223C	1	HBT1
YDL224C	YDL224C	1	WHI4
YDL226C	YDL226C	1	GCS1
YDL230W	YDL230W	1	PTP1
YDL243C	YDL243C	1	AAD4
YDR005C	YDR005C	1	MAF1
YDR009W	YDR009W	1	GAL3
YDR014W	YDR014W	1	RAD61
YDR049W	YDR049W	1	VMS1
YDR057W	YDR057W	1	YOS9
YDR059C	YDR059C	1	UBC5
YDR069C	YDR069C_DAMP	1	DOA4
YDR072C	YDR072C	1	IPT1
YDR073W	YDR073W	1	SNF11
YDR074W	YDR074W	1	TPS2
YDR075W	YDR075W	1	PPH3
YDR076W	YDR076W	1	RAD55
YDR080W	YDR080W	1	VPS41
YDR083W	YDR083W	1	RRP8
YDR092W	YDR092W	1	UBC13
YDR097C	YDR097C	1	MSH6
YDR099W	YDR099W	1	BMH2
YDR101C	YDR101C	1	ARX1
YDR108W	YDR108W	1	TRS85
YDR121W	YDR121W	1	DPB4
YDR122W	YDR122W	1	KIN1
YDR125C	YDR125C	1	ECM18
YDR126W	YDR126W	1	SWF1
YDR127W	YDR127W	1	ARO1
YDR128W	YDR128W	1	MTC5
YDR146C	YDR146C	1	SWI5
YDR150W	YDR150W	1	NUM1
YDR153C	YDR153C	1	ENT5
YDR155C	YDR155C	1	CPR1
YDR156W	YDR156W	1	RPA14
YDR159W	YDR159W	1	SAC3
YDR162C	YDR162C	1	NBP2
YDR174W	YDR174W	1	HMO1
YDR181C	YDR181C	1	SAS4
YDR183W	YDR183W	1	PLP1
YDR191W	YDR191W	1	HST4
YDR192C	YDR192C	1	NUP42
YDR207C	YDR207C	1	UME6
YDR217C	YDR217C	1	RAD9
YDR219C	YDR219C	1	MFB1
YDR221W	YDR221W	1	GTB1
YDR225W	YDR225W	1	HTA1
YDR233C	YDR233C	1	RTN1
YDR245W	YDR245W	1	MNN10
YDR254W	YDR254W	1	CHL4
YDR255C	YDR255C	1	RMD5
YDR257C	YDR257C	1	RKM4
YDR260C	YDR260C	1	SWM1
YDR265W	YDR265W	1	PEX10
YDR276C	YDR276C	1	PMP3
YDR279W	YDR279W	1	RNH202
YDR289C	YDR289C	1	RTT103
YDR293C	YDR293C	1	SSD1
YDR294C	YDR294C	1	DPL1
YDR297W	YDR297W	1	SUR2
YDR310C	YDR310C	1	SUM1
YDR313C	YDR313C	1	PIB1
YDR315C	YDR315C	1	IPK1
YDR318W	YDR318W	1	MCM21
YDR329C	YDR329C	1	PEX3
YDR330W	YDR330W	1	UBX5
YDR332W	YDR332W	1	IRC3
YDR334W	YDR334W	1	SWR1
YDR335W	YDR335W	1	MSN5
YDR359C	YDR359C	1	EAF1
YDR363W	YDR363W	1	ESC2
YDR363W-A	YDR363W-A	1	SEM1
YDR369C	YDR369C	1	XRS2
YDR372C	YDR372C	1	VPS74
YDR378C	YDR378C	1	LSM6
YDR383C	YDR383C	1	NKP1
YDR386W	YDR386W	1	MUS81
YDR388W	YDR388W	1	RVS167
YDR388W	YDR388W_DAMP	1	RVS167
YDR389W	YDR389W	1	SAC7
YDR392W	YDR392W	1	SPT3
YDR393W	YDR393W	1	SHE9
YDR395W	YDR395W	1	SXM1
YDR409W	YDR409W	1	SIZ1
YDR414C	YDR414C	1	ERD1
YDR422C	YDR422C	1	SIP1
YDR424C	YDR424C	1	DYN2
YDR435C	YDR435C	1	PPM1
YDR440W	YDR440W	1	DOT1
YDR443C	YDR443C	1	SSN2
YDR448W	YDR448W	1	ADA2
YDR463W	YDR463W	1	STP1
YDR466W	YDR466W	1	PKH3
YDR469W	YDR469W	1	SDC1
YDR477W	YDR477W	1	SNF1
YDR479C	YDR479C	1	PEX29
YDR482C	YDR482C	1	CWC21
YDR485C	YDR485C	1	VPS72
YDR488C	YDR488C	1	PAC11
YDR490C	YDR490C	1	PKH1
YDR496C	YDR496C	1	PUF6
YDR497C	YDR497C	1	ITR1
YDR505C	YDR505C	1	PSP1
YDR512C	YDR512C	1	EMI1
YDR532C	YDR532C	1	KRE28
YEL003W	YEL003W	1	GIM4
YEL003W	YEL003W_DAMP	1	GIM4
YEL031W	YEL031W	1	SPF1
YEL037C	YEL037C	1	RAD23
