ORF	cluster	gene_name
YBR025C	16	OLA1
YBR156C	16	SLI15
YBR201W	16	DER1
YCL008C	16	STP22
YDL002C	16	NHP10
YDL080C	16	THI3
YDL224C	16	WHI4
YDR092W	16	UBC13
YDR146C	16	SWI5
YDR490C	16	PKH1
YER092W	16	IES5
YER166W	16	DNF1
YFL013C	16	IES1
YFR048W	16	RMD8
YGL087C	16	MMS2
YGR019W	16	UGA1
YGR122W	16	YGR122W
YHL002W	16	HSE1
YHL027W	16	RIM101
YHR114W	16	BZZ1
YHR204W	16	MNL1
YKR100C	16	SKG1
YLR119W	16	SRN2
YML047C	16	PRM6
YMR119W	16	ASI1
YNL021W	16	HDA1
YNL215W	16	IES2
YNL294C	16	RIM21
YOR030W	16	DFG16
YOR275C	16	RIM20
YPL158C	16	AIM44
YPL212C	16	PUS1
YBR131W	15	CCZ1
YBR283C	15	SSH1
YCL010C	15	SGF29
YCL045C	15	EMC1
YDL077C	15	VAM6
YDR073W	15	SNF11
YDR080W	15	VPS41
YDR479C	15	PEX29
YER164W	15	CHD1
YFR019W	15	FAB1
YGL066W	15	SGF73
YGL124C	15	MON1
YGL212W	15	VAM7
YGR157W	15	CHO2
YGR184C	15	UBR1
YGR202C	15	PCT1
YIL090W	15	ICE2
YIR033W	15	MGA2
YJL117W	15	PHO86
YJL197W	15	UBP12
YJR088C	15	EMC2
YKL020C	15	SPT23
YLR426W	15	TDA5
YML013W	15	UBX2
YMR029C	15	FAR8
YMR052W	15	FAR3
YMR223W	15	UBP8
YMR264W	15	CUE1
YNR032W	15	PPG1
YOL068C	15	HST1
YOR106W	15	VAM3
YOR311C	15	DGK1
YPL047W	15	SGF11
YBL051C	14	PIN4
YBL072C	14	RPS8A
YBL103C	14	RTG3
YBR221C	14	PDB1
YBR274W	14	CHK1
YDL033C	14	SLM3
YDL170W	14	UGA3
YDR359C	14	EAF1
YER061C	14	CEM1
YER162C	14	RAD4
YER178W	14	PDA1
YFL018C	14	LPD1
YFR040W	14	SAP155
YGL029W	14	CGR1
YGR054W	14	YGR054W
YGR097W	14	ASK10
YHL029C	14	OCA5
YHR067W	14	HTD2
YJL046W	14	AIM22
YJL138C	14	TIF2
YJR094C	14	IME1
YKR059W	14	TIF1
YKR099W	14	BAS1
YLL045C	14	RPL8B
YLR089C	14	ALT1
YLR182W	14	SWI6
YML112W	14	CTK3
YML123C	14	PHO84
YMR201C	14	RAD14
YNL032W	14	SIW14
YNL071W	14	LAT1
YNL076W	14	MKS1
YOL001W	14	PHO80
YOL108C	14	INO4
YPL022W	14	RAD1
YPL116W	14	HOS3
YAL024C	13	LTE1
YBR009C	13	HHF1
YBR057C	13	MUM2
YBR082C	13	UBC4
YBR272C	13	HSM3
YDL020C	13	RPN4
YDL056W	13	MBP1
YDR025W	13	RPS11A
YDR049W	13	VMS1
YDR260C	13	SWM1
YDR363W-A	13	SEM1
YDR532C	13	KRE28
YEL037C	13	RAD23
YFR009W	13	GCN20
YFR010W	13	UBP6
YFR036W	13	CDC26
YGL141W	13	HUL5
YGL195W	13	GCN1
YGR092W	13	DBF2
YGR135W	13	PRE9
YHR200W	13	RPN10
YKL101W	13	HSL1
YKL206C	13	ADD66
YKL213C	13	DOA1
YLR021W	13	IRC25
YLR079W	13	SIC1
YLR102C	13	APC9
YLR150W	13	STM1
YLR401C	13	DUS3
YLR421C	13	RPN13
YLR435W	13	TSR2
YML016C	13	PPZ1
YMR060C	13	SAM37
YNL031C	13	HHT2
YNL054W	13	VAC7
YNL068C	13	FKH2
YNL292W	13	PUS4
YNL298W	13	CLA4
YOL031C	13	SIL1
YOL061W	13	PRS5
YOL093W	13	TRM10
YOR124C	13	UBP2
YPL090C	13	RPS6A
YBL078C	12	ATG8
YBR034C	12	HMT1
YBR289W	12	SNF5
YCL011C	12	GBP2
YDL025C	12	RTK1
YDR005C	12	MAF1
YDR255C	12	RMD5
YDR463W	12	STP1
YER048C	12	CAJ1
YER068W	12	MOT2
YFL003C	12	MSH4
YFL007W	12	BLM10
YFL027C	12	GYP8
YFL049W	12	SWP82
YGL173C	12	XRN1
YGL213C	12	SKI8
YGR058W	12	PEF1
YGR072W	12	UPF3
YHL025W	12	SNF6
YHR006W	12	STP2
YHR077C	12	NMD2
YHR082C	12	KSP1
YHR115C	12	DMA1
YHR178W	12	STB5
YIR023W	12	DAL81
YJL176C	12	SWI3
YKR103W	12	NFT1
YLL019C	12	KNS1
YLL039C	12	UBI4
YLR180W	12	SAM1
YMR080C	12	NAM7
YMR116C	12	ASC1
YMR275C	12	BUL1
YNL001W	12	DOM34
YNL016W	12	PUB1
YNL255C	12	GIS2
YNL270C	12	ALP1
YOL062C	12	APM4
YOL064C	12	MET22
YOL116W	12	MSN1
YOR076C	12	SKI7
YOR171C	12	LCB4
YPL001W	12	HAT1
YPR022C	12	YPR022C
YPR106W	12	ISR1
YPR189W	12	SKI3
YAL023C	11	PMT2
YBL082C	11	ALG3
YBR015C	11	MNN2
YBR171W	11	SEC66
YBR200W	11	BEM1
YBR229C	11	ROT2
YCR017C	11	CWH43
YCR044C	11	PER1
YDL095W	11	PMT1
YDL203C	11	ACK1
YDR245W	11	MNN10
YDR389W	11	SAC7
YDR414C	11	ERD1
YEL031W	11	SPF1
YFL025C	11	BST1
YFL031W	11	HAC1
YGL027C	11	CWH41
YGL049C	11	TIF4632
YGL084C	11	GUP1
YGL203C	11	KEX1
YGL226C-A	11	OST5
YGR227W	11	DIE2
YHR079C	11	IRE1
YJL062W	11	LAS21
YJL139C	11	YUR1
YJL183W	11	MNN11
YJR075W	11	HOC1
YJR117W	11	STE24
YKL073W	11	LHS1
YLR056W	11	ERG3
YLR083C	11	EMP70
YLR087C	11	CSF1
YML008C	11	ERG6
YML012W	11	ERV25
YMR015C	11	ERG5
YMR214W	11	SCJ1
YMR307W	11	GAS1
YNL167C	11	SKO1
YNL238W	11	KEX2
YNL322C	11	KRE1
YNR030W	11	ALG12
YOR002W	11	ALG6
YOR008C	11	SLG1
YOR067C	11	ALG8
YOR085W	11	OST3
YOR154W	11	SLP1
YPL089C	11	RLM1
YPL161C	11	BEM4
YPL227C	11	ALG5
YAL021C	10	CCR4
YAR002W	10	NUP60
YBL079W	10	NUP170
YCR086W	10	CSM1
YDL076C	10	RXT3
YDL088C	10	ASM4
YDL226C	10	GCS1
YDR069C	10	DOA4
YDR101C	10	ARX1
YDR159W	10	SAC3
YDR192C	10	NUP42
YDR315C	10	IPK1
YDR378C	10	LSM6
YEL013W	10	VAC8
YER031C	10	YPT31
YER089C	10	PTC2
YER123W	10	YCK3
YER151C	10	UBP3
YGL014W	10	PUF4
YGR081C	10	SLX9
YGR178C	10	PBP1
YHR167W	10	THP2
YIL040W	10	APQ12
YJL124C	10	LSM1
YJL214W	10	HXT8
YJR074W	10	MOG1
YKL068W	10	NUP100
YKR048C	10	NAP1
YKR082W	10	NUP133
YKR095W	10	MLP1
YLR018C	10	POM34
YLR410W	10	VIP1
YLR452C	10	SST2
YML034W	10	SRC1
YML062C	10	MFT1
YML103C	10	NUP188
YMR129W	10	POM152
YMR153W	10	NUP53
YMR202W	10	ERG2
YMR219W	10	ESC1
YNL147W	10	LSM7
YNL199C	10	GCR2
YNL307C	10	MCK1
YNL325C	10	FIG4
YNR006W	10	VPS27
YNR051C	10	BRE5
YOL006C	10	TOP1
YOL081W	10	IRA2
YOR360C	10	PDE2
YAL007C	9	ERP2
YBR036C	9	CSG2
YBR168W	9	PEX32
YCR008W	9	SAT4
YDL048C	9	STP4
YDR072C	9	IPT1
YDR313C	9	PIB1
YDR497C	9	ITR1
YER019W	9	ISC1
YGL019W	9	CKB1
YGR170W	9	PSD2
YGR197C	9	SNG1
YGR237C	9	YGR237C
YIL035C	9	CKA1
YJL098W	9	SAP185
YJL128C	9	PBS2
YJL165C	9	HAL5
YJR036C	9	HUL4
YJR070C	9	LIA1
YKL166C	9	TPK3
YKL179C	9	COY1
YKR072C	9	SIS2
YLL024C	9	SSA2
YLL038C	9	ENT4
YLR006C	9	SSK1
YLR113W	9	HOG1
YML035C	9	AMD1
YML107C	9	PML39
YML119W	9	YML119W
YMR016C	9	SOK2
YMR186W	9	HSC82
YMR205C	9	PFK2
YMR216C	9	SKY1
YMR272C	9	SCS7
YNL027W	9	CRZ1
YNL049C	9	SFB2
YNL064C	9	YDJ1
YNR031C	9	SSK2
YOR006C	9	TSR3
YOR027W	9	STI1
YOR039W	9	CKB2
YOR061W	9	CKA2
YOR113W	9	AZF1
YOR322C	9	LDB19
YOR355W	9	GDS1
YPL057C	9	SUR1
YPL068C	9	YPL068C
YPL106C	9	SSE1
YPL150W	9	YPL150W
YPL184C	9	MRN1
YPR065W	9	ROX1
YPR084W	9	YPR084W
YAL042W	8	ERV46
YBL007C	8	SLA1
YBL017C	8	PEP1
YBL047C	8	EDE1
YBL061C	8	SKT5
YBR023C	8	CHS3
YBR078W	8	ECM33
YBR108W	8	AIM3
YBR162C	8	TOS1
YBR290W	8	BSD2
YCR009C	8	RVS161
YCR063W	8	BUD31
YCR088W	8	ABP1
YDL117W	8	CYK3
YDL175C	8	AIR2
YDL176W	8	YDL176W
YDR276C	8	PMP3
YDR293C	8	SSD1
YDR335W	8	MSN5
YDR388W	8	RVS167
YER111C	8	SWI4
YER149C	8	PEA2
YER155C	8	BEM2
YGL228W	8	SHE10
YGL242C	8	YGL242C
YGR229C	8	SMI1
YHR078W	8	YHR078W
YHR142W	8	CHS7
YIR003W	8	AIM21
YJL020C	8	BBC1
YJL187C	8	SWE1
YJR118C	8	ILM1
YKL007W	8	CAP1
YKL079W	8	SMY1
YKL204W	8	EAP1
YKR042W	8	UTH1
YLL021W	8	SPA2
YLR110C	8	CCW12
YLR425W	8	TUS1
YML067C	8	ERV41
YML117W	8	NAB6
YMR092C	8	AIP1
YMR109W	8	MYO5
YNL079C	8	TPM1
YNL106C	8	INP52
YNL233W	8	BNI4
YNL271C	8	BNI1
YOL045W	8	PSK2
YOR035C	8	SHE4
YOR127W	8	RGA1
YPL115C	8	BEM3
YPR075C	8	OPY2
YAL020C	7	ATS1
YAL055W	7	PEX22
YBL027W	7	RPL19B
YBR022W	7	POA1
YBR058C	7	UBP14
YBR076W	7	ECM8
YCL032W	7	STE50
YCR053W	7	THR4
YDL065C	7	PEX19
YDR127W	7	ARO1
YDR128W	7	MTC5
YDR265W	7	PEX10
YDR329C	7	PEX3
YDR448W	7	ADA2
YEL060C	7	PRB1
YER052C	7	HOM3
YFL001W	7	DEG1
YFL023W	7	BUD27
YGL105W	7	ARC1
YGL153W	7	PEX14
YGL211W	7	NCS6
YGL255W	7	ZRT1
YGR077C	7	PEX8
YGR133W	7	PEX4
