ORF	Gene	term
HRA1	HRA1	rRNA processing
NME1	NME1	rRNA processing
YAL025C	MAK16	rRNA processing
YAL033W	POP5	rRNA processing
YAL035W	FUN12	rRNA processing
YBL004W	UTP20	rRNA processing
YBL072C	RPS8A	rRNA processing
YBR048W	RPS11B	rRNA processing
YBR142W	MAK5	rRNA processing
YBR167C	POP7	rRNA processing
YBR181C	RPS6B	rRNA processing
YBR189W	RPS9B	rRNA processing
YBR247C	ENP1	rRNA processing
YBR257W	POP4	rRNA processing
YBR279W	PAF1	rRNA processing
YCL031C	RRP7	rRNA processing
YCL054W	SPB1	rRNA processing
YCL059C	KRR1	rRNA processing
YCR018C	SRD1	rRNA processing
YCR031C	RPS14A	rRNA processing
YCR035C	RRP43	rRNA processing
YCR047C	BUD23	rRNA processing
YCR057C	PWP2	rRNA processing
YDL014W	NOP1	rRNA processing
YDL031W	DBP10	rRNA processing
YDL060W	TSR1	rRNA processing
YDL083C	RPS16B	rRNA processing
YDL111C	RRP42	rRNA processing
YDL136W	RPL35B	rRNA processing
YDL148C	NOP14	rRNA processing
YDL153C	SAS10	rRNA processing
YDL166C	FAP7	rRNA processing
YDL191W	RPL35A	rRNA processing
YDL208W	NHP2	rRNA processing
YDL229W	SSB1	rRNA processing
YDR021W	FAL1	rRNA processing
YDR025W	RPS11A	rRNA processing
YDR064W	RPS13	rRNA processing
YDR083W	RRP8	rRNA processing
YDR087C	RRP1	rRNA processing
YDR117C	TMA64	rRNA processing
YDR280W	RRP45	rRNA processing
YDR299W	BFR2	rRNA processing
YDR324C	UTP4	rRNA processing
YDR339C	FCF1	rRNA processing
YDR365C	ESF1	rRNA processing
YDR378C	LSM6	rRNA processing
YDR398W	UTP5	rRNA processing
YDR412W	RRP17	rRNA processing
YDR449C	UTP6	rRNA processing
YDR450W	RPS18A	rRNA processing
YDR457W	TOM1	rRNA processing
YDR478W	SNM1	rRNA processing
YDR500C	RPL37B	rRNA processing
YEL026W	SNU13	rRNA processing
YER006W	NUG1	rRNA processing
YER074W	RPS24A	rRNA processing
YER082C	UTP7	rRNA processing
YER102W	RPS8B	rRNA processing
YER125W	RSP5	rRNA processing
YER126C	NSA2	rRNA processing
YER127W	LCP5	rRNA processing
YER133W	GLC7	rRNA processing
YFL002C	SPB4	rRNA processing
YFR001W	LOC1	rRNA processing
YGL029W	CGR1	rRNA processing
YGL030W	RPL30	rRNA processing
YGL076C	RPL7A	rRNA processing
YGL078C	DBP3	rRNA processing
YGL120C	PRP43	rRNA processing
YGL136C	MRM2	rRNA processing
YGL171W	ROK1	rRNA processing
YGL173C	XRN1	rRNA processing
YGL246C	RAI1	rRNA processing
YGR030C	POP6	rRNA processing
YGR063C	SPT4	rRNA processing
YGR081C	SLX9	rRNA processing
YGR090W	UTP22	rRNA processing
YGR095C	RRP46	rRNA processing
YGR103W	NOP7	rRNA processing
YGR118W	RPS23A	rRNA processing
YGR128C	UTP8	rRNA processing
YGR145W	ENP2	rRNA processing
YGR158C	MTR3	rRNA processing
YGR159C	NSR1	rRNA processing
YGR195W	SKI6	rRNA processing
YGR214W	RPS0A	rRNA processing
YGR251W	NOP19	rRNA processing
YGR271C-A	EFG1	rRNA processing
YGR276C	RNH70	rRNA processing
YGR285C	ZUO1	rRNA processing
YHL015W	RPS20	rRNA processing
YHL025W	SNF6	rRNA processing
YHL033C	RPL8A	rRNA processing
YHR021C	RPS27B	rRNA processing
YHR034C	PIH1	rRNA processing
YHR062C	RPP1	rRNA processing
YHR064C	SSZ1	rRNA processing
YHR065C	RRP3	rRNA processing
YHR066W	SSF1	rRNA processing
YHR069C	RRP4	rRNA processing
YHR072W-A	NOP10	rRNA processing
YHR081W	LRP1	rRNA processing
YHR085W	IPI1	rRNA processing
YHR088W	RPF1	rRNA processing
YHR148W	IMP3	rRNA processing
YHR169W	DBP8	rRNA processing
YHR196W	UTP9	rRNA processing
YHR197W	RIX1	rRNA processing
YIL019W	FAF1	rRNA processing
YIL069C	RPS24B	rRNA processing
YIL091C	UTP25	rRNA processing
YIL096C	BMT5	rRNA processing
YJL010C	NOP9	rRNA processing
YJL033W	HCA4	rRNA processing
YJL050W	MTR4	rRNA processing
YJL069C	UTP18	rRNA processing
YJL109C	UTP10	rRNA processing
YJL136C	RPS21B	rRNA processing
YJL177W	RPL17B	rRNA processing
YJL191W	RPS14B	rRNA processing
YJR002W	MPP10	rRNA processing
YJR055W	HIT1	rRNA processing
YKL009W	MRT4	rRNA processing
YKL014C	URB1	rRNA processing
YKL021C	MAK11	rRNA processing
YKL078W	DHR2	rRNA processing
YKL099C	UTP11	rRNA processing
YKL156W	RPS27A	rRNA processing
YKL172W	EBP2	rRNA processing
YKL180W	RPL17A	rRNA processing
YKR024C	DBP7	rRNA processing
YKR057W	RPS21A	rRNA processing
YKR060W	UTP30	rRNA processing
YKR063C	LAS1	rRNA processing
YKR081C	RPF2	rRNA processing
YLL008W	DRS1	rRNA processing
YLL011W	SOF1	rRNA processing
YLL035W	GRC3	rRNA processing
YLL045C	RPL8B	rRNA processing
YLR002C	NOC3	rRNA processing
YLR048W	RPS0B	rRNA processing
YLR051C	FCF2	rRNA processing
YLR059C	REX2	rRNA processing
YLR063W	BMT6	rRNA processing
YLR068W	FYV7	rRNA processing
YLR106C	MDN1	rRNA processing
YLR107W	REX3	rRNA processing
YLR129W	DIP2	rRNA processing
YLR145W	RMP1	rRNA processing
YLR165C	PUS5	rRNA processing
YLR167W	RPS31	rRNA processing
YLR175W	CBF5	rRNA processing
YLR185W	RPL37A	rRNA processing
YLR186W	EMG1	rRNA processing
YLR192C	HCR1	rRNA processing
YLR196W	PWP1	rRNA processing
YLR197W	NOP56	rRNA processing
YLR222C	UTP13	rRNA processing
YLR276C	DBP9	rRNA processing
YLR293C	GSP1	rRNA processing
YLR409C	UTP21	rRNA processing
YLR430W	SEN1	rRNA processing
YLR435W	TSR2	rRNA processing
YLR441C	RPS1A	rRNA processing
YML010W	SPT5	rRNA processing
YML026C	RPS18B	rRNA processing
YML063W	RPS1B	rRNA processing
YML093W	UTP14	rRNA processing
YMR014W	BUD22	rRNA processing
YMR049C	ERB1	rRNA processing
YMR093W	UTP15	rRNA processing
YMR128W	ECM16	rRNA processing
YMR143W	RPS16A	rRNA processing
YMR229C	RRP5	rRNA processing
YMR239C	RNT1	rRNA processing
YMR285C	NGL2	rRNA processing
YMR290C	HAS1	rRNA processing
YNL002C	RLP7	rRNA processing
YNL022C	RCM1	rRNA processing
YNL061W	NOP2	rRNA processing
YNL075W	IMP4	rRNA processing
YNL112W	DBP2	rRNA processing
YNL147W	LSM7	rRNA processing
YNL182C	IPI3	rRNA processing
YNL207W	RIO2	rRNA processing
YNL209W	SSB2	rRNA processing
YNL221C	POP1	rRNA processing
YNL224C	SQS1	rRNA processing
YNL227C	JJJ1	rRNA processing
YNL232W	CSL4	rRNA processing
YNL282W	POP3	rRNA processing
YNL308C	KRI1	rRNA processing
YNR024W	MPP6	rRNA processing
YNR038W	DBP6	rRNA processing
YNR046W	TRM112	rRNA processing
YNR054C	ESF2	rRNA processing
YOL010W	RCL1	rRNA processing
YOL021C	DIS3	rRNA processing
YOL022C	TSR4	rRNA processing
YOL041C	NOP12	rRNA processing
YOL080C	REX4	rRNA processing
YOL142W	RRP40	rRNA processing
YOL144W	NOP8	rRNA processing
YOR001W	RRP6	rRNA processing
YOR004W	UTP23	rRNA processing
YOR006C	TSR3	rRNA processing
YOR048C	RAT1	rRNA processing
YOR056C	NOB1	rRNA processing
YOR078W	BUD21	rRNA processing
YOR119C	RIO1	rRNA processing
YOR145C	PNO1	rRNA processing
YOR201C	MRM1	rRNA processing
YOR205C	GEP3	rRNA processing
YOR243C	PUS7	rRNA processing
YOR287C	RRP36	rRNA processing
YOR294W	RRS1	rRNA processing
YOR308C	SNU66	rRNA processing
YOR310C	NOP58	rRNA processing
YPL012W	RRP12	rRNA processing
YPL043W	NOP4	rRNA processing
YPL081W	RPS9A	rRNA processing
YPL082C	MOT1	rRNA processing
YPL090C	RPS6A	rRNA processing
YPL093W	NOG1	rRNA processing
YPL126W	NAN1	rRNA processing
YPL146C	NOP53	rRNA processing
YPL198W	RPL7B	rRNA processing
